City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
171,Labuan,MY,2021-11-01 01:42:28,5.2767,115.2417,84.56,70,20,3.0,few clouds
172,Ilhabela,BR,2021-11-01 01:42:28,-23.7781,-45.3581,69.64,97,100,8.14,light rain
173,Coruripe,BR,2021-11-01 01:42:29,-10.1256,-36.1756,76.33,79,100,9.42,overcast clouds
174,Upernavik,GL,2021-11-01 01:42:29,72.7868,-56.1549,28.96,77,100,11.59,overcast clouds
175,Saldanha,ZA,2021-11-01 01:42:30,-33.0117,17.9442,62.65,76,100,11.72,light rain
176,Mut,TR,2021-11-01 01:42:31,36.6439,33.4389,61.38,68,100,3.42,overcast clouds
177,Koygorodok,RU,2021-11-01 01:42:31,60.445,50.9968,38.1,98,100,4.72,overcast clouds
178,Tokonou,GN,2021-11-01 01:43:32,9.65,-9.7833,68.54,91,97,2.04,light rain
179,Faanui,PF,2021-11-01 01:43:32,-16.4833,-151.75,78.8,75,72,16.84,light rain
180,Kavieng,PG,2021-11-01 01:43:33,-2.5744,150.7967,85.89,65,64,13.78,broken clouds
181,Hammerfest,NO,2021-11-01 01:43:33,70.6634,23.6821,37.85,75,84,6.91,broken clouds
182,Ngunguru,NZ,2021-11-01 01:43:34,-35.6167,174.5,68.16,57,84,8.66,broken clouds
183,Pokhara,NP,2021-11-01 01:43:34,28.2333,83.9833,60.91,77,89,0.98,overcast clouds
184,Kahului,US,2021-11-01 01:43:35,20.8947,-156.47,85.26,67,40,10.36,scattered clouds
185,Krasnovishersk,RU,2021-11-01 01:43:35,60.4078,57.082,36.05,98,100,5.57,overcast clouds
186,Bonavista,CA,2021-11-01 01:43:35,48.6499,-53.1147,46.11,91,75,14.23,broken clouds
187,Kamiiso,JP,2021-11-01 01:43:36,41.8167,140.65,57.58,58,75,4.61,broken clouds
188,Zhigalovo,RU,2021-11-01 01:43:36,54.8097,105.1578,31.91,77,88,2.57,overcast clouds
189,Turangi,NZ,2021-11-01 01:43:37,-39.0,175.9333,62.91,42,11,5.7,few clouds
190,Cukai,MY,2021-11-01 01:43:37,4.25,103.4167,82.35,77,100,4.68,overcast clouds
191,Axim,GH,2021-11-01 01:43:38,4.8699,-2.2405,77.76,86,100,10.2,light rain
192,Marshfield,US,2021-11-01 01:43:38,44.6689,-90.1718,42.53,65,75,8.05,broken clouds
193,Mizdah,LY,2021-11-01 01:43:39,31.4451,12.9801,65.77,35,4,10.94,clear sky
194,Abu Dhabi,AE,2021-11-01 01:41:48,24.4667,54.3667,80.62,89,0,1.14,clear sky
195,Ayr,GB,2021-11-01 01:43:39,55.4627,-4.6339,47.1,93,75,8.05,broken clouds
196,Cairns,AU,2021-11-01 01:43:40,-16.9167,145.7667,94.06,59,40,17.27,scattered clouds
197,Andenes,NO,2021-11-01 01:43:40,69.3143,16.1194,42.78,87,100,10.36,overcast clouds
198,Maragogi,BR,2021-11-01 01:43:41,-9.0122,-35.2225,76.57,83,56,7.4,broken clouds
199,Unity,CA,2021-11-01 01:43:41,52.4501,-109.1682,27.0,53,0,6.26,clear sky
200,Orlik,RU,2021-11-01 01:43:42,52.5178,99.825,27.55,86,100,2.71,light snow
201,Ostersund,SE,2021-11-01 01:43:42,63.1792,14.6357,39.65,93,100,8.05,overcast clouds
202,Lompoc,US,2021-11-01 01:40:44,34.6391,-120.4579,62.74,81,1,8.05,clear sky
203,Vaini,TO,2021-11-01 01:43:43,-21.2,-175.2,80.76,83,40,11.5,light rain
204,Severo-Kurilsk,RU,2021-11-01 01:43:43,50.6789,156.125,35.98,64,79,25.41,light rain
205,Egvekinot,RU,2021-11-01 01:43:44,66.3167,-179.1667,-1.62,84,87,6.85,overcast clouds
206,Mahon,ES,2021-11-01 01:43:44,39.8885,4.2658,72.16,83,0,11.5,clear sky
207,Ancud,CL,2021-11-01 01:43:45,-41.8697,-73.8203,58.53,87,0,7.67,clear sky
208,Jensen Beach,US,2021-11-01 01:43:45,27.2545,-80.2298,73.45,82,98,1.01,overcast clouds
209,Odweyne,SO,2021-11-01 01:39:33,9.4092,45.064,70.38,51,73,10.83,broken clouds
210,Griffith,US,2021-11-01 01:43:46,41.5284,-87.4237,48.11,65,1,1.01,clear sky
211,Chapais,CA,2021-11-01 01:43:47,49.7834,-74.8492,40.78,99,100,3.47,overcast clouds
212,Hundested,DK,2021-11-01 01:43:47,55.9667,11.8667,57.04,89,100,1.01,overcast clouds
213,Askiz,RU,2021-11-01 01:43:48,53.1319,90.5264,30.63,64,98,22.28,overcast clouds
214,Naze,JP,2021-11-01 01:43:48,28.3667,129.4833,67.12,75,20,14.97,few clouds
215,Opuwo,NA,2021-11-01 01:43:49,-18.0607,13.84,64.53,21,0,4.94,clear sky
216,Iwanai,JP,2021-11-01 01:43:49,42.9744,140.5089,51.96,75,97,5.46,overcast clouds
217,Teya,RU,2021-11-01 01:43:50,60.3778,92.6267,21.52,93,100,5.14,light snow
218,Lukaya,UG,2021-11-01 01:43:50,-0.1489,31.8748,69.85,89,99,2.86,overcast clouds
219,La Palma,US,2021-11-01 01:43:51,33.8464,-118.0467,68.81,80,1,3.0,clear sky
220,Matara,LK,2021-11-01 01:43:51,5.9485,80.5353,79.2,87,100,7.74,overcast clouds
221,Georgetown,MY,2021-11-01 01:43:41,5.4112,100.3354,83.89,85,20,5.01,few clouds
222,Banda Aceh,ID,2021-11-01 01:43:52,5.5577,95.3222,81.95,73,93,4.76,overcast clouds
223,Thinadhoo,MV,2021-11-01 01:43:53,0.5333,72.9333,82.85,75,100,20.87,light rain
224,Airai,TL,2021-11-01 01:43:53,-8.9266,125.4092,76.42,43,60,2.3,broken clouds
225,Ikungi,TZ,2021-11-01 01:43:54,-5.1333,34.7667,66.9,63,86,6.46,overcast clouds
226,Siderno,IT,2021-11-01 01:44:54,38.2779,16.302,65.57,93,100,4.32,overcast clouds
227,Sobolevo,RU,2021-11-01 01:44:55,54.4299,31.8996,36.77,84,0,7.34,clear sky
228,Bamiantong,CN,2021-11-01 01:44:56,44.9333,130.5333,42.94,51,98,4.52,overcast clouds
229,Kannad,IN,2021-11-01 01:44:56,20.2667,75.1333,67.12,49,44,3.38,scattered clouds
230,Hurricane,US,2021-11-01 01:44:56,37.1753,-113.2899,70.27,36,97,3.69,overcast clouds
231,Alofi,NU,2021-11-01 01:44:57,-19.0595,-169.9187,82.29,61,27,16.11,scattered clouds
232,Zigong,CN,2021-11-01 01:44:58,29.3416,104.7769,58.48,92,100,3.56,light rain
233,Bima,ID,2021-11-01 01:44:58,-8.4667,118.7167,90.61,56,27,4.65,scattered clouds
234,Sao Joao Da Barra,BR,2021-11-01 01:41:14,-21.6403,-41.0511,70.56,93,100,18.34,overcast clouds
235,Algarrobo,CO,2021-11-01 01:44:59,10.1869,-74.5753,73.94,91,100,1.14,overcast clouds
236,Jibuti,DJ,2021-11-01 01:44:59,11.5,42.5,74.12,73,65,13.56,broken clouds
237,Skibotn,NO,2021-11-01 01:45:00,69.3913,20.2679,42.89,96,100,15.32,overcast clouds
238,Luderitz,NA,2021-11-01 01:45:01,-26.6481,15.1594,61.45,69,100,6.98,overcast clouds
239,Chota,PE,2021-11-01 01:45:02,-6.55,-78.65,55.4,95,100,2.91,light rain
240,Christchurch,NZ,2021-11-01 01:42:37,-43.5333,172.6333,62.33,59,24,4.0,few clouds
241,Sola,VU,2021-11-01 01:45:04,-13.8833,167.55,80.91,74,16,14.0,few clouds
242,Bethanien,NA,2021-11-01 01:45:04,-26.502,17.1583,58.35,38,14,5.55,few clouds
243,Kamenka,RU,2021-11-01 01:45:05,51.3223,42.7678,39.22,66,0,5.39,clear sky
244,Camacha,PT,2021-11-01 01:45:06,33.0833,-16.3333,68.76,88,20,8.05,few clouds
245,Pokrovsk,UA,2021-11-01 01:45:07,48.282,37.1758,39.88,92,0,8.03,clear sky
246,Naantali,FI,2021-11-01 01:45:08,60.4674,22.0243,48.07,100,90,5.75,mist
247,Abu Samrah,SY,2021-11-01 01:45:08,35.3029,37.1841,65.25,60,4,7.96,clear sky
248,Sorland,NO,2021-11-01 01:45:09,67.667,12.6934,47.41,88,59,19.82,broken clouds
249,Savannah Bight,HN,2021-11-01 01:45:09,16.45,-85.85,79.0,59,79,10.29,broken clouds
250,Sishui,CN,2021-11-01 01:45:10,35.6489,117.2758,57.25,58,3,10.49,clear sky
251,Touros,BR,2021-11-01 01:45:10,-5.1989,-35.4608,81.5,78,44,14.07,scattered clouds
252,Faya,SA,2021-11-01 01:45:11,18.3851,42.4509,54.12,55,8,6.51,clear sky
253,Kamina,CD,2021-11-01 01:45:11,-8.7386,24.9906,63.45,96,100,2.68,overcast clouds
254,Coihaique,CL,2021-11-01 01:45:12,-45.5752,-72.0662,53.55,54,0,0.0,clear sky
255,Mecca,SA,2021-11-01 01:45:13,21.4267,39.8261,77.61,61,0,0.58,clear sky
256,Kalangala,UG,2021-11-01 01:45:13,-0.3089,32.225,69.15,66,98,2.13,overcast clouds
257,Stonewall,CA,2021-11-01 01:45:14,50.1344,-97.3268,35.71,81,84,14.45,broken clouds
258,Bar Harbor,US,2021-11-01 01:45:14,44.3876,-68.2039,56.14,91,1,5.75,clear sky
259,Flinders,AU,2021-11-01 01:45:15,-34.5833,150.8552,76.17,60,100,4.0,overcast clouds
